gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,overall,reading_score,writing_score,study_time,screen_time,health,going_out_with_friends,absences,failure,science_score,activities,romantic,travel_time,math_score
female,group D,some high school,free/reduced,none,50,64,59,8,4,Excellent,Often,18,1,1,Doesn't Participate,Yes,30-60 min,43.5
female,group D,associate's degree,free/reduced,completed,75,90,88,8,3,Average,Rarely,5,0,91,Participates,Yes,30-60 min,86.0
male,group B,associate's degree,free/reduced,none,57,56,57,4,1,Excellent,Often,4,1,62,Participates,Yes,15-30 min,58.0
male,group C,associate's degree,free/reduced,none,55,61,54,1,8,Excellent,Often,5,0,11,Participates,No,30-60 min,45.25
female,group C,associate's degree,standard,none,58,73,68,2,3,Good,Never,4,1,72,Doesn't Participate,Yes,15-30 min,67.75
female,group B,associate's degree,standard,none,53,58,65,5,7,Poor,Never,0,1,10,Doesn't Participate,Yes,30-60 min,46.5
male,group B,some college,free/reduced,completed,59,65,66,8,2,Average,Rarely,10,1,63,Doesn't Participate,Yes,30-60 min,63.25
female,group E,associate's degree,free/reduced,none,50,56,54,5,5,Poor,Rarely,13,1,80,Participates,No,15-30 min,60.0
male,group B,associate's degree,standard,none,65,54,57,6,1,Good,Often,20,1,20,Participates,Yes,>60 min,49.0
female,group A,associate's degree,standard,completed,55,65,62,4,3,Good,Sometimes,10,1,35,Doesn't Participate,Yes,>60 min,54.25
female,group C,high school,standard,none,66,71,76,2,6,Excellent,Never,15,0,96,Participates,Yes,30-60 min,77.25
female,group D,associate's degree,free/reduced,completed,57,74,76,9,1,Excellent,Sometimes,9,1,91,Doesn't Participate,No,15-30 min,74.5
male,group C,high school,standard,completed,82,84,82,7,6,Poor,Never,10,0,57,Doesn't Participate,Yes,15-30 min,76.25
male,group E,some college,standard,none,53,55,48,4,7,Average,Often,18,1,44,Participates,No,>60 min,50.0
male,group E,associate's degree,free/reduced,completed,77,69,68,3,1,Excellent,Never,8,0,42,Doesn't Participate,No,>60 min,64.0
male,group C,some college,standard,none,53,44,42,6,5,Excellent,Often,7,0,97,Participates,No,<15 min,59.0
male,group D,high school,standard,none,88,78,75,10,1,Average,Never,6,0,59,Participates,No,30-60 min,75.0
female,group C,some high school,free/reduced,completed,71,84,87,9,4,Poor,Often,9,1,93,Participates,Yes,<15 min,83.75
female,group C,high school,free/reduced,none,33,41,43,4,4,Average,Rarely,20,1,1,Doesn't Participate,Yes,30-60 min,29.5
female,group E,associate's degree,standard,completed,82,85,86,3,1,Excellent,Rarely,5,0,27,Participates,Yes,30-60 min,70.0
male,group D,associate's degree,standard,none,52,55,49,2,6,Average,Rarely,16,1,62,Participates,No,30-60 min,54.5
male,group D,some college,standard,completed,58,59,58,8,8,Poor,Often,0,0,97,Doesn't Participate,No,<15 min,68.0
female,group C,some high school,free/reduced,none,0,17,10,5,5,Excellent,Never,3,0,66,Participates,Yes,>60 min,23.25
male,group E,bachelor's degree,free/reduced,completed,79,74,72,1,7,Poor,Never,16,1,51,Doesn't Participate,Yes,>60 min,69.0
male,group A,some high school,free/reduced,none,39,39,34,10,1,Poor,Often,5,1,49,Doesn't Participate,No,>60 min,40.25
male,group A,associate's degree,free/reduced,none,62,61,55,2,8,Poor,Never,15,1,20,Participates,No,15-30 min,49.5
female,group C,associate's degree,standard,none,69,80,71,8,5,Excellent,Sometimes,3,0,48,Doesn't Participate,Yes,15-30 min,67.0
female,group D,some high school,standard,none,59,58,59,4,2,Good,Often,2,0,37,Participates,Yes,>60 min,53.25
male,group B,some high school,standard,none,67,64,61,5,6,Poor,Sometimes,2,0,97,Participates,Yes,>60 min,72.25
male,group D,some high school,free/reduced,none,45,37,37,9,3,Excellent,Often,5,0,86,Participates,Yes,15-30 min,51.25
female,group C,some college,standard,none,60,72,74,10,2,Average,Never,13,1,97,Doesn't Participate,No,15-30 min,75.75
male,group B,associate's degree,free/reduced,none,61,58,56,3,5,Average,Rarely,4,0,54,Participates,No,>60 min,57.25
female,group C,associate's degree,standard,none,39,64,57,3,6,Poor,Often,15,0,56,Participates,No,15-30 min,54.0
female,group D,some college,free/reduced,completed,58,63,73,5,2,Poor,Often,20,0,91,Doesn't Participate,No,15-30 min,71.25
male,group D,some college,standard,completed,63,55,63,4,2,Good,Rarely,8,0,81,Participates,No,>60 min,65.5
female,group A,associate's degree,free/reduced,none,41,51,48,3,5,Average,Never,4,0,65,Doesn't Participate,Yes,<15 min,51.25
male,group C,some high school,free/reduced,none,61,57,56,5,8,Good,Never,0,0,26,Doesn't Participate,No,<15 min,50.0
male,group C,some high school,standard,none,49,49,41,4,3,Average,Never,3,0,3,Doesn't Participate,Yes,>60 min,35.5
male,group B,associate's degree,free/reduced,none,44,41,38,2,6,Good,Sometimes,18,0,49,Doesn't Participate,Yes,>60 min,43.0
male,group E,some high school,standard,none,30,26,22,4,2,Poor,Never,19,1,9,Doesn't Participate,Yes,15-30 min,21.75
male,group A,bachelor's degree,standard,completed,80,78,81,10,7,Good,Rarely,14,0,71,Participates,No,30-60 min,77.5
female,group D,some high school,standard,completed,61,74,72,5,7,Poor,Often,11,1,29,Doesn't Participate,Yes,>60 min,59.0
female,group E,master's degree,standard,none,62,68,68,3,3,Poor,Never,15,0,24,Doesn't Participate,Yes,15-30 min,55.5
female,group B,associate's degree,standard,none,47,49,50,8,5,Excellent,Sometimes,3,0,98,Participates,No,15-30 min,61.0
male,group B,high school,free/reduced,none,49,45,45,3,3,Poor,Often,1,0,59,Doesn't Participate,Yes,>60 min,49.5
male,group A,some college,free/reduced,completed,50,47,54,3,8,Excellent,Rarely,19,0,50,Doesn't Participate,No,30-60 min,50.25
male,group E,associate's degree,standard,none,72,64,63,1,7,Excellent,Never,16,0,8,Doesn't Participate,No,30-60 min,51.75
male,group D,high school,free/reduced,none,42,39,34,9,6,Good,Often,1,0,53,Participates,No,>60 min,42.0
female,group C,some college,standard,none,73,80,82,1,8,Excellent,Sometimes,8,0,12,Participates,No,>60 min,61.75
female,group C,some college,free/reduced,none,76,83,88,5,5,Poor,Sometimes,5,0,80,Participates,Yes,<15 min,81.75
female,group D,associate's degree,standard,none,71,71,74,8,1,Average,Never,14,0,63,Participates,Yes,15-30 min,69.75
female,group A,some college,standard,none,58,70,67,1,6,Excellent,Never,20,0,23,Doesn't Participate,No,>60 min,54.5
female,group D,some high school,standard,none,73,86,82,4,4,Good,Never,19,1,37,Participates,Yes,>60 min,69.5
female,group C,bachelor's degree,standard,none,65,72,74,6,3,Poor,Rarely,8,1,94,Participates,Yes,30-60 min,76.25
male,group C,high school,free/reduced,none,27,34,36,3,8,Average,Never,6,1,3,Doesn't Participate,No,30-60 min,25.0
male,group C,high school,standard,none,71,79,71,6,8,Good,Sometimes,19,0,97,Doesn't Participate,Yes,>60 min,79.5
male,group C,associate's degree,free/reduced,completed,43,45,50,4,4,Good,Never,4,0,33,Doesn't Participate,No,<15 min,42.75
female,group B,some college,standard,none,79,86,92,1,8,Good,Rarely,19,0,32,Doesn't Participate,No,<15 min,72.25
male,group C,associate's degree,free/reduced,completed,78,81,82,3,5,Good,Rarely,12,1,56,Participates,Yes,>60 min,74.25
male,group B,some high school,standard,completed,65,66,62,1,6,Poor,Rarely,14,0,72,Doesn't Participate,No,<15 min,66.25
female,group E,some college,standard,completed,63,72,70,1,7,Excellent,Often,1,0,75,Doesn't Participate,Yes,<15 min,70.0
female,group D,some college,free/reduced,none,58,67,62,9,6,Good,Often,6,1,79,Participates,Yes,30-60 min,66.5
female,group D,bachelor's degree,standard,none,65,67,62,3,4,Good,Never,15,1,94,Participates,No,<15 min,72.0
male,group B,some college,standard,none,79,67,67,10,5,Excellent,Often,7,1,96,Participates,Yes,<15 min,77.25
male,group D,bachelor's degree,standard,completed,68,74,74,8,7,Poor,Rarely,4,0,23,Participates,Yes,<15 min,59.75
female,group D,associate's degree,standard,none,85,91,89,2,4,Excellent,Rarely,15,1,68,Doesn't Participate,No,15-30 min,83.25
male,group B,high school,standard,completed,60,44,47,6,6,Excellent,Sometimes,6,1,46,Participates,No,<15 min,49.25
male,group C,some college,standard,completed,98,86,90,3,3,Average,Rarely,14,0,41,Doesn't Participate,No,15-30 min,78.75
female,group C,some college,standard,none,58,67,72,6,3,Average,Often,3,1,46,Doesn't Participate,No,<15 min,60.75
female,group D,master's degree,standard,none,87,100,100,3,6,Good,Often,12,1,22,Doesn't Participate,No,15-30 min,77.25
male,group E,associate's degree,standard,completed,66,63,64,8,2,Poor,Often,6,0,18,Doesn't Participate,Yes,15-30 min,52.75
female,group B,associate's degree,free/reduced,none,52,76,70,5,8,Poor,Often,4,1,71,Doesn't Participate,Yes,15-30 min,67.25
female,group B,some high school,standard,none,70,64,72,5,7,Excellent,Rarely,11,0,36,Doesn't Participate,Yes,>60 min,60.5
female,group D,associate's degree,free/reduced,completed,77,89,98,8,8,Poor,Never,15,0,29,Doesn't Participate,No,>60 min,73.25
male,group C,high school,standard,none,62,55,49,4,4,Excellent,Sometimes,3,1,7,Participates,Yes,<15 min,43.25
male,group A,associate's degree,standard,none,54,53,47,4,8,Average,Sometimes,5,1,54,Participates,Yes,30-60 min,52.0
female,group D,some college,standard,none,51,58,54,5,2,Poor,Often,2,1,71,Doesn't Participate,Yes,<15 min,58.5
female,group E,bachelor's degree,standard,completed,99,100,100,2,1,Good,Sometimes,1,1,68,Doesn't Participate,No,<15 min,91.75
male,group C,high school,standard,none,84,77,74,10,7,Good,Often,6,0,59,Doesn't Participate,Yes,30-60 min,73.5
female,group B,bachelor's degree,free/reduced,none,75,85,82,9,8,Good,Sometimes,4,1,68,Doesn't Participate,Yes,<15 min,77.5
female,group D,bachelor's degree,standard,none,78,82,79,1,5,Poor,Rarely,9,0,19,Doesn't Participate,Yes,30-60 min,64.5
female,group D,some high school,standard,none,51,63,61,5,4,Average,Rarely,0,1,59,Participates,No,15-30 min,58.5
female,group C,some college,standard,none,55,69,65,9,5,Good,Sometimes,0,0,44,Participates,Yes,30-60 min,58.25
female,group C,bachelor's degree,standard,completed,79,92,89,9,5,Poor,Never,14,1,4,Doesn't Participate,Yes,30-60 min,66.0
male,group B,associate's degree,standard,completed,91,89,92,2,4,Average,Rarely,3,1,60,Participates,Yes,15-30 min,83.0
female,group C,some college,standard,completed,88,93,93,7,2,Excellent,Never,8,0,11,Participates,No,30-60 min,71.25
male,group D,high school,free/reduced,none,63,57,56,6,5,Average,Never,14,1,84,Participates,No,30-60 min,65.0
male,group E,some college,standard,none,83,80,73,7,1,Excellent,Never,9,1,0,Participates,Yes,30-60 min,59.0
female,group B,high school,standard,none,87,95,86,2,4,Poor,Often,6,1,75,Participates,Yes,15-30 min,85.75
male,group B,some high school,standard,none,72,68,67,1,3,Poor,Sometimes,1,1,57,Doesn't Participate,Yes,<15 min,66.0
male,group D,some college,standard,completed,65,77,74,4,4,Average,Rarely,10,1,2,Participates,Yes,15-30 min,54.5
male,group D,master's degree,standard,none,82,82,74,5,8,Average,Never,7,0,70,Doesn't Participate,No,30-60 min,77.0
female,group A,bachelor's degree,standard,none,51,49,51,7,7,Good,Never,13,0,8,Doesn't Participate,No,<15 min,39.75
male,group D,master's degree,standard,none,89,84,82,10,5,Good,Never,10,1,24,Doesn't Participate,Yes,30-60 min,69.75
male,group C,some high school,free/reduced,completed,53,37,40,2,1,Excellent,Often,1,1,0,Doesn't Participate,Yes,>60 min,32.5
male,group E,some college,free/reduced,completed,87,74,70,1,3,Average,Never,2,1,53,Doesn't Participate,Yes,15-30 min,71.0
female,group C,some college,standard,completed,75,81,84,2,8,Excellent,Often,6,0,73,Doesn't Participate,Yes,>60 min,78.25
male,group D,bachelor's degree,free/reduced,completed,74,79,75,6,7,Poor,Never,10,0,1,Participates,Yes,15-30 min,57.25
male,group C,bachelor's degree,standard,none,58,55,48,4,6,Good,Often,14,1,50,Participates,Yes,30-60 min,52.75
male,group B,some high school,standard,completed,51,54,41,10,8,Good,Often,16,0,22,Participates,Yes,>60 min,42.0
male,group E,high school,standard,none,70,55,56,1,2,Excellent,Often,19,0,67,Doesn't Participate,Yes,<15 min,62.0
female,group C,associate's degree,standard,none,59,66,67,6,6,Excellent,Often,19,1,2,Participates,No,15-30 min,48.5
male,group D,some college,standard,completed,71,61,69,2,2,Average,Sometimes,4,0,57,Participates,Yes,30-60 min,64.5
female,group D,some high school,standard,none,76,72,71,1,4,Excellent,Sometimes,2,1,1,Participates,Yes,>60 min,55.0
female,group C,some college,free/reduced,none,59,62,64,8,6,Average,Sometimes,20,0,99,Doesn't Participate,No,<15 min,71.0
female,group E,some college,free/reduced,completed,42,55,54,10,2,Poor,Often,6,0,83,Participates,No,30-60 min,58.5
male,group A,high school,standard,none,57,43,47,10,8,Average,Sometimes,12,1,52,Participates,Yes,15-30 min,49.75
male,group D,some college,standard,none,88,73,78,2,8,Average,Sometimes,6,0,58,Doesn't Participate,No,15-30 min,74.25
female,group C,some college,free/reduced,none,22,39,33,10,8,Poor,Rarely,15,1,26,Doesn't Participate,Yes,>60 min,30.0
male,group B,some high school,standard,none,88,84,75,5,8,Average,Often,6,1,39,Doesn't Participate,Yes,15-30 min,71.5
male,group C,associate's degree,free/reduced,none,73,68,66,3,4,Excellent,Sometimes,8,1,70,Doesn't Participate,Yes,15-30 min,69.25
female,group D,bachelor's degree,standard,completed,68,75,81,5,7,Good,Often,4,0,93,Participates,No,>60 min,79.25
male,group E,associate's degree,free/reduced,completed,100,100,93,6,3,Good,Often,17,1,14,Doesn't Participate,Yes,15-30 min,76.75
male,group A,some high school,standard,completed,62,67,69,2,5,Good,Sometimes,12,1,12,Participates,Yes,15-30 min,52.5
male,group A,bachelor's degree,standard,none,77,67,68,6,1,Excellent,Sometimes,2,0,14,Doesn't Participate,Yes,30-60 min,56.5
female,group B,associate's degree,standard,completed,59,70,66,9,8,Excellent,Often,7,0,66,Doesn't Participate,Yes,>60 min,65.25
male,group D,bachelor's degree,standard,none,54,49,47,10,2,Poor,Often,19,0,16,Participates,Yes,15-30 min,41.5
male,group D,some high school,standard,none,62,67,61,9,2,Average,Often,18,0,0,Doesn't Participate,No,<15 min,47.5
female,group C,some college,standard,completed,70,89,88,9,3,Good,Rarely,0,0,58,Doesn't Participate,No,30-60 min,76.25
female,group E,high school,free/reduced,completed,66,74,78,1,7,Average,Often,0,1,85,Participates,Yes,30-60 min,75.75
male,group B,some college,free/reduced,none,60,60,60,4,2,Excellent,Rarely,14,0,71,Participates,Yes,15-30 min,62.75
female,group B,associate's degree,standard,completed,61,86,87,7,7,Average,Often,14,0,18,Doesn't Participate,Yes,30-60 min,63.0
male,group D,associate's degree,free/reduced,none,66,62,64,6,7,Average,Often,12,1,82,Participates,Yes,<15 min,68.5
male,group B,associate's degree,free/reduced,completed,82,78,74,6,7,Average,Sometimes,7,0,33,Doesn't Participate,Yes,>60 min,66.75
female,group E,some college,free/reduced,completed,75,88,85,8,1,Good,Never,19,1,7,Participates,Yes,>60 min,63.75
male,group B,master's degree,free/reduced,none,49,53,52,6,2,Excellent,Rarely,9,0,42,Doesn't Participate,No,>60 min,49.0
male,group C,high school,standard,none,52,53,49,10,4,Good,Often,20,1,6,Doesn't Participate,Yes,15-30 min,40.0
female,group E,master's degree,standard,none,81,92,91,6,5,Average,Often,2,1,45,Participates,Yes,15-30 min,77.25
female,group C,bachelor's degree,standard,completed,96,100,100,8,6,Excellent,Sometimes,18,1,10,Doesn't Participate,No,>60 min,76.5
male,group C,high school,free/reduced,completed,53,51,51,6,2,Good,Often,1,0,75,Doesn't Participate,No,<15 min,57.5
female,group B,master's degree,free/reduced,completed,58,76,78,2,8,Good,Never,2,1,88,Doesn't Participate,No,>60 min,75.0
female,group B,high school,standard,completed,68,83,78,2,7,Excellent,Never,11,0,21,Doesn't Participate,Yes,<15 min,62.5
female,group C,some college,free/reduced,completed,67,75,70,2,6,Poor,Sometimes,7,0,53,Participates,No,>60 min,66.25
male,group A,high school,standard,completed,72,73,74,4,3,Good,Sometimes,16,1,86,Doesn't Participate,Yes,>60 min,76.25
male,group E,some high school,standard,none,94,88,78,10,5,Excellent,Never,12,0,86,Doesn't Participate,Yes,>60 min,86.5
female,group D,some college,standard,none,79,86,81,7,1,Excellent,Sometimes,10,1,86,Doesn't Participate,No,30-60 min,83.0
female,group C,associate's degree,standard,none,63,67,70,10,7,Poor,Rarely,7,1,51,Doesn't Participate,Yes,15-30 min,62.75
female,group C,bachelor's degree,free/reduced,completed,43,51,54,10,2,Good,Sometimes,7,1,93,Doesn't Participate,Yes,15-30 min,60.25
female,group C,master's degree,standard,completed,81,91,87,2,7,Excellent,Never,17,1,54,Doesn't Participate,No,<15 min,78.25
female,group B,high school,free/reduced,completed,46,54,58,10,1,Poor,Never,3,0,15,Participates,Yes,15-30 min,43.25
female,group C,associate's degree,standard,completed,71,77,77,2,5,Excellent,Often,20,0,10,Participates,Yes,15-30 min,58.75
female,group B,master's degree,free/reduced,completed,52,70,62,8,5,Poor,Sometimes,0,0,56,Doesn't Participate,No,>60 min,60.0
female,group D,some high school,standard,completed,97,100,100,3,3,Poor,Never,7,0,42,Participates,No,>60 min,84.75
male,group C,master's degree,free/reduced,completed,62,68,75,1,3,Good,Rarely,7,1,6,Participates,Yes,15-30 min,52.75
female,group C,some college,free/reduced,none,46,64,66,3,5,Poor,Often,18,1,82,Doesn't Participate,Yes,>60 min,64.5
female,group E,high school,standard,none,50,50,47,10,7,Excellent,Never,7,0,19,Participates,No,15-30 min,41.5
female,group D,associate's degree,standard,none,65,69,70,3,8,Average,Often,20,0,77,Participates,Yes,<15 min,70.25
male,group C,some high school,free/reduced,completed,45,52,49,6,3,Excellent,Never,15,1,92,Participates,Yes,<15 min,59.5
male,group C,associate's degree,free/reduced,completed,65,67,65,2,2,Good,Never,1,1,10,Doesn't Participate,Yes,30-60 min,51.75
male,group E,high school,standard,none,80,76,65,7,6,Average,Often,6,0,16,Doesn't Participate,Yes,>60 min,59.25
male,group D,some high school,standard,completed,62,66,68,4,1,Average,Often,4,1,67,Participates,No,>60 min,65.75
male,group B,some high school,free/reduced,none,48,52,45,7,7,Poor,Rarely,8,1,89,Doesn't Participate,Yes,<15 min,58.5
female,group C,bachelor's degree,standard,none,77,88,87,4,7,Excellent,Often,4,1,54,Participates,No,<15 min,76.5
female,group E,associate's degree,standard,none,66,65,69,5,1,Poor,Sometimes,17,1,11,Doesn't Participate,Yes,>60 min,52.75
male,group D,some college,standard,completed,76,83,79,8,6,Good,Rarely,17,0,4,Participates,Yes,15-30 min,60.5
female,group B,some high school,standard,none,62,64,66,6,8,Poor,Never,11,1,7,Doesn't Participate,No,15-30 min,49.75
male,group D,some college,standard,completed,77,62,62,8,7,Good,Often,2,1,5,Doesn't Participate,No,<15 min,51.5
female,group C,master's degree,standard,completed,69,84,85,2,7,Good,Rarely,3,1,14,Doesn't Participate,No,<15 min,63.0
male,group D,associate's degree,standard,none,61,55,52,5,1,Average,Never,12,0,6,Doesn't Participate,No,15-30 min,43.5
male,group C,some high school,free/reduced,completed,59,69,65,7,8,Poor,Never,14,0,62,Participates,No,<15 min,63.75
male,group E,high school,free/reduced,none,55,56,51,8,6,Poor,Sometimes,9,1,3,Participates,No,30-60 min,41.25
female,group B,some college,free/reduced,none,45,53,55,8,2,Excellent,Rarely,3,0,2,Participates,No,30-60 min,38.75
female,group B,bachelor's degree,free/reduced,none,78,79,76,4,7,Excellent,Rarely,4,1,68,Doesn't Participate,Yes,<15 min,75.25
female,group C,associate's degree,standard,completed,67,84,86,5,2,Good,Sometimes,9,0,74,Doesn't Participate,No,>60 min,77.75
female,group D,some college,free/reduced,none,65,81,77,10,1,Excellent,Sometimes,2,0,62,Participates,No,30-60 min,71.25
male,group C,associate's degree,standard,none,69,77,69,10,5,Excellent,Often,18,1,80,Participates,Yes,30-60 min,73.75
female,group B,associate's degree,standard,none,57,69,68,3,1,Excellent,Often,0,0,83,Participates,Yes,<15 min,69.25
male,group C,some college,standard,none,59,41,42,4,7,Good,Rarely,5,1,85,Doesn't Participate,No,30-60 min,56.75
male,group D,some high school,standard,completed,74,71,78,5,7,Average,Sometimes,8,1,99,Participates,Yes,30-60 min,80.5
male,group E,bachelor's degree,standard,none,82,62,62,3,6,Poor,Often,5,1,76,Doesn't Participate,Yes,30-60 min,70.5
male,group E,high school,standard,completed,81,80,76,5,5,Good,Rarely,18,0,30,Doesn't Participate,Yes,>60 min,66.75
female,group B,some college,free/reduced,none,74,81,76,4,8,Excellent,Often,4,1,38,Doesn't Participate,No,>60 min,67.25
female,group B,some college,free/reduced,none,58,61,66,8,7,Poor,Often,2,0,78,Participates,Yes,15-30 min,65.75
male,group D,some high school,free/reduced,completed,80,79,79,10,5,Poor,Never,2,0,97,Participates,Yes,30-60 min,83.75
male,group C,some college,free/reduced,none,35,28,27,10,1,Good,Rarely,19,1,82,Doesn't Participate,No,<15 min,43.0
female,group C,high school,free/reduced,none,42,62,60,4,1,Good,Sometimes,11,0,44,Participates,Yes,15-30 min,52.0
male,group C,associate's degree,free/reduced,completed,60,51,56,9,8,Excellent,Sometimes,13,1,17,Participates,No,>60 min,46.0
male,group E,high school,standard,completed,87,91,81,5,8,Good,Often,9,1,51,Participates,Yes,30-60 min,77.5
male,group B,some high school,standard,completed,84,83,75,2,6,Average,Never,14,1,62,Doesn't Participate,No,15-30 min,76.0
female,group E,associate's degree,free/reduced,completed,83,86,88,5,5,Good,Rarely,2,1,26,Participates,Yes,30-60 min,70.75
female,group C,high school,free/reduced,none,34,42,39,2,1,Good,Never,20,1,31,Doesn't Participate,Yes,<15 min,36.5
male,group B,high school,free/reduced,none,66,77,70,1,5,Good,Sometimes,16,1,23,Participates,Yes,15-30 min,59.0
male,group B,some high school,standard,completed,61,56,56,8,1,Good,Sometimes,14,1,73,Doesn't Participate,Yes,30-60 min,61.5
female,group D,high school,standard,completed,56,68,74,10,1,Poor,Never,16,1,22,Participates,No,15-30 min,55.0
male,group B,associate's degree,standard,none,87,85,73,5,7,Average,Often,17,0,58,Participates,No,>60 min,75.75
female,group C,some high school,free/reduced,none,55,65,62,10,1,Poor,Sometimes,1,1,86,Participates,Yes,30-60 min,67.0
male,group D,some high school,standard,none,86,80,75,9,6,Excellent,Rarely,20,1,17,Participates,No,30-60 min,64.5
female,group B,associate's degree,standard,completed,52,66,73,1,4,Average,Never,6,1,74,Doesn't Participate,Yes,<15 min,66.25
female,group E,master's degree,free/reduced,none,45,56,54,10,3,Excellent,Often,12,0,86,Participates,Yes,15-30 min,60.25
female,group C,some college,standard,none,72,72,71,6,4,Excellent,Rarely,17,0,53,Doesn't Participate,No,30-60 min,67.0
male,group D,high school,standard,none,57,50,54,8,2,Good,Sometimes,4,1,67,Doesn't Participate,No,15-30 min,57.0
male,group A,some high school,free/reduced,none,68,72,64,2,8,Excellent,Never,19,0,79,Doesn't Participate,Yes,30-60 min,70.75
female,group C,some college,standard,completed,88,95,94,9,5,Excellent,Never,9,1,54,Participates,No,30-60 min,82.75
male,group D,some college,standard,none,76,64,66,10,2,Poor,Often,10,0,86,Participates,No,15-30 min,73.0
male,group C,associate's degree,standard,none,46,43,42,7,3,Good,Often,16,0,55,Doesn't Participate,Yes,<15 min,46.5
female,group B,bachelor's degree,standard,none,67,86,83,4,6,Average,Never,2,1,38,Participates,Yes,30-60 min,68.5
